DATE,TICKER,DIVIDEND
2016-02-15,AAPL,0.88
2016-02-22,SBUX,0.85
2016-03-09,JNJ,1.27
2016-03-29,BAC,0.34
2016-04-05,KO,0.89
2016-05-17,AAPL,0.97
2016-05-18,PG,0.57
2016-05-24,SBUX,0.85
2016-06-10,JNJ,1.36
2016-06-28,BAC,0.34
2016-07-06,KO,0.89
2016-08-16,AAPL,0.97
2016-08-17,PG,0.57
2016-08-23,SBUX,0.85
2016-09-08,JNJ,1.36
2016-09-27,BAC,0.51
2016-10-05,KO,0.89
2016-11-14,AAPL,0.97
2016-11-17,PG,0.57
2016-12-06,SBUX,1.06
2016-12-08,JNJ,1.36
2016-12-19,KO,0.89
2017-01-03,BAC,0.51
2017-02-17,PG,0.57
2017-02-21,AAPL,0.97
2017-02-28,SBUX,1.06
2017-03-09,BND,0.67
2017-03-16,JNJ,1.36
2017-03-21,NVDA,0.36
2017-04-05,BAC,0.51
2017-04-05,KO,0.94
2017-04-10,BND,0.74
2017-05-10,BND,0.71
2017-05-17,PG,1.76
2017-05-22,AAPL,1.61
2017-05-30,SBUX,4.25
2017-06-09,BND,0.73
2017-06-14,JNJ,1.43
2017-06-15,NVDA,0.71
2017-06-30,GS,1.28
2017-07-04,BAC,0.51
2017-07-05,KO,1.26
2017-07-11,BND,0.72
2017-08-02,T,2.5
2017-08-08,BND,0.73
2017-08-16,PG,4.11
2017-08-18,AAPL,2.68
2017-08-28,SBUX,4.25
2017-09-11,BND,0.74
2017-09-13,JNJ,2.14
2017-09-19,NVDA,0.71
2017-10-10,KO,1.89
2017-10-10,GS,3.19
2017-10-11,BND,0.71
2017-10-13,BAC,0.82
2017-10-16,PM,6.29
2017-10-17,PM,0.11
2017-11-02,T,3.33
2017-11-07,BND,0.73
2017-11-17,PG,4.11
2017-11-22,AAPL,3.75
2017-12-05,SBUX,5.87
2017-12-07,BND,0.71
2017-12-13,JNJ,3.57
2017-12-18,NVDA,0.76
2017-12-20,KO,1.89
2017-12-29,GS,3.19
2018-01-02,BND,0.19
2018-01-02,BND,0.74
2018-01-04,BAC,0.82
2018-01-12,PM,0.11
2018-01-15,PM,6.29
2018-02-02,T,8.92
2018-02-07,BND,0.75
2018-02-19,AAPL,5.89
2018-02-19,PG,7.61
2018-02-26,SBUX,7.65
2018-03-07,BND,0.71
2018-03-14,JNJ,5.71
2018-03-19,NVDA,1.02
2018-03-30,GS,3.19
2018-04-03,BAC,0.82
2018-04-03,KO,4.64
2018-04-05,BND,0.1
2018-04-05,BND,0.77
2018-04-09,BND,0.11
2018-04-10,BND,0.11
2018-04-11,PM,0.25
2018-04-12,BND,0.11
2018-04-12,BND,0.11
2018-04-12,PM,9.34
2018-04-12,BND,0.11
2018-04-12,BND,0.11
2018-04-13,BND,0.11
2018-04-13,BND,0.11
2018-04-13,BND,0.11
2018-04-13,BND,0.1
2018-05-02,T,11.05
2018-05-08,BND,0.76
2018-05-16,PG,7.92
2018-05-18,AAPL,6.83
2018-05-29,SBUX,7.65
2018-06-08,BND,0.78
2018-06-14,JNJ,8.42
2018-06-18,NVDA,1.02
2018-06-28,GS,3.4
2018-07-02,BAC,0.82
2018-07-04,KO,7.96
2018-07-06,BND,0.77
2018-07-12,PM,9.95
2018-07-12,PM,0.26
2018-08-02,T,11.05
2018-08-06,BND,0.8
2018-08-16,PG,7.92
2018-08-17,AAPL,6.83
2018-08-27,SBUX,9.18
2018-09-06,BND,0.8
2018-09-12,JNJ,8.41
2018-09-21,NVDA,1.02
2018-09-27,GS,3.4
2018-10-01,BAC,1.02
2018-10-02,KO,7.96
2018-10-05,BND,0.78
2018-10-11,MO,10.2
2018-10-12,WSR,8.48
2018-10-15,PM,13.27
2018-10-15,O,3.75
2018-10-16,PM,0.35
2018-10-26,CLDT,5.61
2018-11-02,T,32.3
2018-11-06,BND,0.83
2018-11-13,WSR,9.85
