,DATE,TICKER,DIVIDEND
0,2016-02-15,AAPL,0.88
1,2016-02-22,SBUX,0.85
2,2016-03-09,JNJ,1.27
3,2016-03-29,BAC,0.34
4,2016-04-05,KO,0.89
5,2016-05-17,AAPL,0.97
6,2016-05-18,PG,0.57
7,2016-05-24,SBUX,0.85
8,2016-06-10,JNJ,1.36
9,2016-06-28,BAC,0.34
10,2016-07-06,KO,0.89
11,2016-08-16,AAPL,0.97
12,2016-08-17,PG,0.57
13,2016-08-23,SBUX,0.85
14,2016-09-08,JNJ,1.36
15,2016-09-27,BAC,0.51
16,2016-10-05,KO,0.89
17,2016-11-14,AAPL,0.97
18,2016-11-17,PG,0.57
19,2016-12-06,SBUX,1.06
20,2016-12-08,JNJ,1.36
21,2016-12-19,KO,0.89
22,2017-01-03,BAC,0.51
23,2017-02-17,PG,0.57
24,2017-02-21,AAPL,0.97
25,2017-02-28,SBUX,1.06
26,2017-03-09,Vanguard,0.67
27,2017-03-16,JNJ,1.36
28,2017-03-21,NVDA,0.36
29,2017-04-05,BAC,0.51
30,2017-04-05,KO,0.94
31,2017-04-10,Vanguard,0.74
32,2017-05-10,Vanguard,0.71
33,2017-05-17,PG,1.76
34,2017-05-22,AAPL,1.61
35,2017-05-30,SBUX,4.25
36,2017-06-09,Vanguard,0.73
37,2017-06-14,JNJ,1.43
38,2017-06-15,NVDA,0.71
39,2017-06-30,GS,1.28
40,2017-07-04,BAC,0.51
41,2017-07-05,KO,1.26
42,2017-07-11,Vanguard,0.72
43,2017-08-02,T,2.5
44,2017-08-08,Vanguard,0.73
45,2017-08-16,PG,4.11
46,2017-08-18,AAPL,2.68
47,2017-08-28,SBUX,4.25
48,2017-09-11,Vanguard,0.74
49,2017-09-13,JNJ,2.14
50,2017-09-19,NVDA,0.71
51,2017-10-10,KO,1.89
52,2017-10-10,GS,3.19
53,2017-10-11,Vanguard,0.71
54,2017-10-13,BAC,0.82
55,2017-10-16,PM,6.29
56,2017-10-17,PM,0.11
57,2017-11-02,T,3.33
58,2017-11-07,Vanguard,0.73
59,2017-11-17,PG,4.11
60,2017-11-22,AAPL,3.75
61,2017-12-05,SBUX,5.87
62,2017-12-07,Vanguard,0.71
63,2017-12-13,JNJ,3.57
64,2017-12-18,NVDA,0.76
65,2017-12-20,KO,1.89
66,2017-12-29,GS,3.19
67,2018-01-02,Vanguard,0.19
68,2018-01-02,Vanguard,0.74
69,2018-01-04,BAC,0.82
70,2018-01-12,PM,0.11
71,2018-01-15,PM,6.29
72,2018-02-02,T,8.92
73,2018-02-07,Vanguard,0.75
74,2018-02-19,AAPL,5.89
75,2018-02-19,PG,7.61
76,2018-02-26,SBUX,7.65
77,2018-03-07,Vanguard,0.71
78,2018-03-14,JNJ,5.71
79,2018-03-19,NVDA,1.02
80,2018-03-30,GS,3.19
81,2018-04-03,BAC,0.82
82,2018-04-03,KO,4.64
83,2018-04-05,Vanguard,0.1
84,2018-04-05,Vanguard,0.77
85,2018-04-09,Vanguard,0.11
86,2018-04-10,Vanguard,0.11
87,2018-04-11,PM,0.25
88,2018-04-12,Vanguard,0.11
89,2018-04-12,Vanguard,0.11
90,2018-04-12,PM,9.34
91,2018-04-12,Vanguard,0.11
92,2018-04-12,Vanguard,0.11
93,2018-04-13,Vanguard,0.11
94,2018-04-13,Vanguard,0.11
95,2018-04-13,Vanguard,0.11
96,2018-04-13,Vanguard,0.1
97,2018-05-02,T,11.05
98,2018-05-08,Vanguard,0.76
99,2018-05-16,PG,7.92
100,2018-05-18,AAPL,6.83
101,2018-05-29,SBUX,7.65
102,2018-06-08,Vanguard,0.78
103,2018-06-14,JNJ,8.42
104,2018-06-18,NVDA,1.02
105,2018-06-28,GS,3.4
106,2018-07-02,BAC,0.82
107,2018-07-04,KO,7.96
108,2018-07-06,Vanguard,0.77
109,2018-07-12,PM,9.95
110,2018-07-12,PM,0.26
111,2018-08-02,T,11.05
112,2018-08-06,Vanguard,0.8
113,2018-08-16,PG,7.92
114,2018-08-17,AAPL,6.83
115,2018-08-27,SBUX,9.18
116,2018-09-06,Vanguard,0.8
117,2018-09-12,JNJ,8.41
